 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         31.0023      -42.55  0.3174   20.000
         31.0040      -42.55  0.3174   20.000
         31.0062      -42.55  0.3174   20.000
         31.0090      -42.56  0.3173   20.000
         31.0128      -42.57  0.3173   20.000
         31.0176      -42.58  0.3173   20.000
         31.0239      -42.59  0.3173   20.000
         31.0320      -42.61  0.3172   20.000
         31.0426      -42.63  0.3172   20.000
         31.0564      -42.66  0.3171   20.000
         31.0743      -42.70  0.3170   20.000
         31.0976      -42.75  0.3169   20.000
         31.1279      -42.82  0.3168   20.000
         31.1673      -42.90  0.3166   20.000
         31.2185      -43.00  0.3164   20.000
         31.2850      -43.14  0.3161   20.000
         31.3744      -43.30  0.3158   20.000
         31.4787      -43.48  0.3154   20.000
         31.6090      -43.67  0.3150   20.000
         31.8045      -43.82  0.3147   20.000
         32.0000      -43.84  0.3146   20.000
         32.2500      -43.67  0.3150   20.000
         32.5000      -43.29  0.3158   20.000
         32.7500      -42.84  0.3168   20.000
         33.0000      -42.34  0.3178   20.000
         33.5000      -41.57  0.3194   20.000
         34.0000      -41.16  0.3203   20.000
         34.5000      -41.08  0.3205   20.000
         35.0000      -41.32  0.3200   20.000
         36.0000      -42.45  0.3175   20.000
         37.0000      -44.05  0.3143   20.000
         38.0000      -45.62  0.3110   20.000
         39.0000      -47.17  0.3078   20.000
         40.0000      -48.91  0.3047   20.000
         41.0000      -50.64  0.3018   20.000
         42.0000      -52.36  0.2989   20.000
         43.0000      -54.02  0.2961   20.000
         44.0000      -55.60  0.2935   20.000
         45.0000      -57.09  0.2910   20.000
         46.0000      -58.47  0.2886   20.000
         47.0000      -59.73  0.2865   20.000
         48.0000      -61.15  0.2846   20.000
         49.0000      -62.51  0.2828   20.000
         50.0000      -63.84  0.2811   20.000
         51.0000      -65.14  0.2794   20.000
         52.0000      -66.41  0.2777   20.000
         53.0000      -67.63  0.2761   20.000
         54.0000      -68.83  0.2745   20.000
         55.0000      -69.99  0.2730   20.000
         56.0000      -71.11  0.2715   20.000
         57.0000      -72.19  0.2701   20.000
         57.0010      -72.20  0.2701   20.000
         57.0023      -72.20  0.2701   20.000
         57.0040      -72.20  0.2701   20.000
         57.0062      -72.20  0.2701   20.000
         57.0090      -72.21  0.2701   20.000
         57.0128      -72.21  0.2701   20.000
         57.0176      -72.22  0.2701   20.000
         57.0239      -72.22  0.2701   20.000
         57.0320      -72.23  0.2701   20.000
         57.0426      -72.24  0.2701   20.000
         57.0564      -72.26  0.2700   20.000
