 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          6.0112        0.00  0.3500   20.000  0.1586E-10          0.00  0.3500   20.000  0.1508E-08          0.00  0.3500   20.000  0.1427E-06          0.00  0.3500   20.000  0.1197E-05          0.00  0.3500   20.000  0.8064E-06
          6.0846        0.00  0.3500   20.000  0.1343E-10          0.00  0.3500   20.000  0.1294E-08          0.00  0.3500   20.000  0.1279E-06          0.00  0.3500   20.000  0.1191E-05          0.00  0.3500   20.000  0.8494E-06
          6.1580        0.00  0.3500   20.000  0.1137E-10          0.00  0.3500   20.000  0.1111E-08          0.00  0.3500   20.000  0.1146E-06          0.00  0.3500   20.000  0.1180E-05          0.00  0.3500   20.000  0.8902E-06
          6.2314        0.00  0.3500   20.000  0.9627E-11          0.00  0.3500   20.000  0.9530E-09          0.00  0.3500   20.000  0.1025E-06          0.00  0.3500   20.000  0.1165E-05          0.00  0.3500   20.000  0.9285E-06
          6.3048        0.00  0.3500   20.000  0.8154E-11          0.00  0.3500   20.000  0.8176E-09          0.00  0.3500   20.000  0.9165E-07          0.00  0.3500   20.000  0.1147E-05          0.00  0.3500   20.000  0.9639E-06
          6.3782        0.00  0.3500   20.000  0.6906E-11          0.00  0.3500   20.000  0.7012E-09          0.00  0.3500   20.000  0.8182E-07          0.00  0.3500   20.000  0.1125E-05          0.00  0.3500   20.000  0.9961E-06
          6.4516        0.00  0.3500   20.000  0.5851E-11          0.00  0.3500   20.000  0.6014E-09          0.00  0.3500   20.000  0.7297E-07          0.00  0.3500   20.000  0.1100E-05          0.00  0.3500   20.000  0.1025E-05
          6.5250        0.00  0.3500   20.000  0.4957E-11          0.00  0.3500   20.000  0.5157E-09          0.00  0.3500   20.000  0.6501E-07          0.00  0.3500   20.000  0.1073E-05          0.00  0.3500   20.000  0.1050E-05
          6.5984        0.00  0.3500   20.000  0.4200E-11          0.00  0.3500   20.000  0.4421E-09          0.00  0.3500   20.000  0.5786E-07          0.00  0.3500   20.000  0.1043E-05          0.00  0.3500   20.000  0.1071E-05
          6.6718        0.00  0.3500   20.000  0.3560E-11          0.00  0.3500   20.000  0.3790E-09          0.00  0.3500   20.000  0.5145E-07          0.00  0.3500   20.000  0.1011E-05          0.00  0.3500   20.000  0.1089E-05
          6.7452        0.00  0.3500   20.000  0.3017E-11          0.00  0.3500   20.000  0.3248E-09          0.00  0.3500   20.000  0.4571E-07          0.00  0.3500   20.000  0.9769E-06          0.00  0.3500   20.000  0.1103E-05
          6.8186        0.00  0.3500   20.000  0.2557E-11          0.00  0.3500   20.000  0.2784E-09          0.00  0.3500   20.000  0.4057E-07          0.00  0.3500   20.000  0.9417E-06          0.00  0.3500   20.000  0.1112E-05
          6.8920        0.00  0.3500   20.000  0.2168E-11          0.00  0.3500   20.000  0.2385E-09          0.00  0.3500   20.000  0.3598E-07          0.00  0.3500   20.000  0.9055E-06          0.00  0.3500   20.000  0.1118E-05
          6.9654        0.00  0.3500   20.000  0.1838E-11          0.00  0.3500   20.000  0.2044E-09          0.00  0.3500   20.000  0.3188E-07          0.00  0.3500   20.000  0.8685E-06          0.00  0.3500   20.000  0.1120E-05
          7.0388        0.00  0.3500   20.000  0.1559E-11          0.00  0.3500   20.000  0.1751E-09          0.00  0.3500   20.000  0.2823E-07          0.00  0.3500   20.000  0.8310E-06          0.00  0.3500   20.000  0.1118E-05
          7.1122        0.00  0.3500   20.000  0.1322E-11          0.00  0.3500   20.000  0.1500E-09          0.00  0.3500   20.000  0.2498E-07          0.00  0.3500   20.000  0.7933E-06          0.00  0.3500   20.000  0.1112E-05
          7.1856        0.00  0.3500   20.000  0.1121E-11          0.00  0.3500   20.000  0.1285E-09          0.00  0.3500   20.000  0.2208E-07          0.00  0.3500   20.000  0.7556E-06          0.00  0.3500   20.000  0.1103E-05
          7.2590        0.00  0.3500   20.000  0.9508E-12          0.00  0.3500   20.000  0.1101E-09          0.00  0.3500   20.000  0.1951E-07          0.00  0.3500   20.000  0.7180E-06          0.00  0.3500   20.000  0.1091E-05
          7.3324        0.00  0.3500   20.000  0.8066E-12          0.00  0.3500   20.000  0.9425E-10          0.00  0.3500   20.000  0.1722E-07          0.00  0.3500   20.000  0.6809E-06          0.00  0.3500   20.000  0.1075E-05
          7.4058        0.00  0.3500   20.000  0.6843E-12          0.00  0.3500   20.000  0.8071E-10          0.00  0.3500   20.000  0.1519E-07          0.00  0.3500   20.000  0.6444E-06          0.00  0.3500   20.000  0.1057E-05
